,loc_inicio,loc_fim,multip_g,numero_passos,variacao_altura
93,"[17, 3]","[1, 17]",0.1,19.0,9.0
94,"[21, 9]","[22, 16]",0.1,7.0,-12.0
95,"[15, 5]","[27, 1]",0.1,12.0,17.0
96,"[5, 28]","[6, 28]",0.1,1.0,3.0
97,"[6, 5]","[25, 18]",0.1,20.0,7.0
98,"[24, 14]","[19, 29]",0.1,15.0,2.0
99,"[22, 18]","[27, 20]",0.1,6.0,4.0
100,"[6, 10]","[8, 1]",0.2,10.0,-6.0
101,"[19, 15]","[8, 12]",0.2,12.0,-8.0
102,"[9, 10]","[10, 4]",0.2,7.0,-10.0
103,"[24, 18]","[24, 11]",0.2,7.0,3.0
104,"[28, 1]","[21, 20]",0.2,21.0,6.0
105,"[3, 19]","[2, 25]",0.2,6.0,-18.0
106,"[10, 24]","[3, 25]",0.2,10.0,0.0
107,"[16, 13]","[15, 27]",0.2,17.0,2.0
108,"[8, 1]","[1, 19]",0.2,21.0,-9.0
109,"[9, 28]","[20, 29]",0.2,12.0,-12.0
110,"[15, 22]","[4, 11]",0.2,15.0,-3.0
111,"[11, 21]","[26, 10]",0.2,18.0,-13.0
112,"[15, 0]","[10, 29]",0.2,32.0,-14.0
113,"[23, 9]","[26, 6]",0.2,3.0,-10.0
114,"[24, 9]","[23, 5]",0.2,4.0,3.0
115,"[27, 2]","[15, 16]",0.2,19.0,-16.0
116,"[9, 18]","[13, 27]",0.2,9.0,1.0
117,"[20, 26]","[1, 17]",0.2,21.0,0.0
118,"[29, 29]","[23, 12]",0.2,19.0,0.0
119,"[1, 9]","[11, 21]",0.2,14.0,11.0
120,"[2, 20]","[15, 3]",0.2,22.0,-6.0
121,"[10, 8]","[18, 0]",0.2,11.0,-4.0
122,"[27, 0]","[17, 19]",0.2,23.0,11.0
123,"[22, 29]","[2, 15]",0.2,25.0,-4.0
124,"[0, 10]","[10, 2]",0.2,11.0,14.0
125,"[1, 23]","[12, 25]",0.2,13.0,11.0
126,"[27, 14]","[12, 25]",0.2,21.0,2.0
127,"[22, 14]","[8, 27]",0.2,24.0,10.0
128,"[24, 28]","[6, 7]",0.2,32.0,7.0
129,"[18, 10]","[21, 1]",0.2,10.0,-13.0
130,"[7, 28]","[22, 22]",0.2,18.0,10.0
131,"[4, 1]","[12, 23]",0.2,26.0,11.0
132,"[29, 9]","[20, 11]",0.2,9.0,-2.0
