,loc_inicio,loc_fim,multip_g,numero_passos,variacao_altura
471,"[10, 8]","[18, 0]",0.9,19.0,-4.0
472,"[27, 0]","[17, 19]",0.9,56.0,11.0
473,"[22, 29]","[2, 15]",0.9,61.0,-4.0
474,"[0, 10]","[10, 2]",0.9,30.0,14.0
475,"[1, 23]","[12, 25]",0.9,61.0,11.0
476,"[27, 14]","[12, 25]",0.9,121.0,2.0
477,"[22, 14]","[8, 27]",0.9,,
478,"[24, 28]","[6, 7]",0.9,58.0,7.0
479,"[18, 10]","[21, 1]",0.9,140.0,-13.0
480,"[7, 28]","[22, 22]",0.9,69.0,10.0
481,"[4, 1]","[12, 23]",0.9,137.0,11.0
482,"[29, 9]","[20, 11]",0.9,,
483,"[5, 18]","[14, 12]",0.9,139.0,5.0
484,"[28, 28]","[10, 15]",0.9,58.0,-9.0
485,"[19, 4]","[2, 3]",0.9,53.0,-3.0
486,"[14, 5]","[6, 26]",0.9,44.0,13.0
487,"[17, 21]","[6, 6]",0.9,,
488,"[15, 2]","[14, 15]",0.9,106.0,-9.0
489,"[28, 13]","[16, 5]",0.9,30.0,-5.0
490,"[28, 13]","[10, 7]",0.9,93.0,-13.0
491,"[26, 6]","[5, 0]",0.9,99.0,11.0
492,"[18, 24]","[26, 1]",0.9,58.0,-2.0
493,"[17, 3]","[1, 17]",0.9,59.0,9.0
494,"[21, 9]","[22, 16]",0.9,84.0,-12.0
495,"[15, 5]","[27, 1]",0.9,,
496,"[5, 28]","[6, 28]",0.9,1.0,3.0
497,"[6, 5]","[25, 18]",0.9,113.0,7.0
498,"[24, 14]","[19, 29]",0.9,63.0,2.0
499,"[22, 18]","[27, 20]",0.9,7.0,4.0
500,"[6, 10]","[8, 1]",1.0,31.0,-6.0
501,"[19, 15]","[8, 12]",1.0,21.0,-8.0
502,"[9, 10]","[10, 4]",1.0,,
503,"[24, 18]","[24, 11]",1.0,80.0,3.0
504,"[28, 1]","[21, 20]",1.0,63.0,6.0
505,"[3, 19]","[2, 25]",1.0,66.0,-18.0
506,"[10, 24]","[3, 25]",1.0,18.0,0.0
507,"[16, 13]","[15, 27]",1.0,,
508,"[8, 1]","[1, 19]",1.0,29.0,-9.0
509,"[9, 28]","[20, 29]",1.0,162.0,-12.0
510,"[15, 22]","[4, 11]",1.0,124.0,-3.0
511,"[11, 21]","[26, 10]",1.0,70.0,-13.0
512,"[15, 0]","[10, 29]",1.0,75.0,-14.0
513,"[23, 9]","[26, 6]",1.0,17.0,-10.0
514,"[24, 9]","[23, 5]",1.0,27.0,3.0
515,"[27, 2]","[15, 16]",1.0,63.0,-16.0
516,"[9, 18]","[13, 27]",1.0,,
517,"[20, 26]","[1, 17]",1.0,38.0,0.0
518,"[29, 29]","[23, 12]",1.0,88.0,0.0
519,"[1, 9]","[11, 21]",1.0,62.0,11.0
520,"[2, 20]","[15, 3]",1.0,242.0,-6.0
521,"[10, 8]","[18, 0]",1.0,51.0,-4.0
522,"[27, 0]","[17, 19]",1.0,58.0,11.0
523,"[22, 29]","[2, 15]",1.0,62.0,-4.0
524,"[0, 10]","[10, 2]",1.0,30.0,14.0
525,"[1, 23]","[12, 25]",1.0,,
526,"[27, 14]","[12, 25]",1.0,,
527,"[22, 14]","[8, 27]",1.0,63.0,10.0
528,"[24, 28]","[6, 7]",1.0,70.0,7.0
529,"[18, 10]","[21, 1]",1.0,,
530,"[7, 28]","[22, 22]",1.0,,
531,"[4, 1]","[12, 23]",1.0,148.0,11.0
532,"[29, 9]","[20, 11]",1.0,83.0,-2.0
533,"[5, 18]","[14, 12]",1.0,148.0,5.0
534,"[28, 28]","[10, 15]",1.0,65.0,-9.0
535,"[19, 4]","[2, 3]",1.0,,
536,"[14, 5]","[6, 26]",1.0,44.0,13.0
537,"[17, 21]","[6, 6]",1.0,247.0,-12.0
538,"[15, 2]","[14, 15]",1.0,138.0,-9.0
539,"[28, 13]","[16, 5]",1.0,81.0,-5.0
540,"[28, 13]","[10, 7]",1.0,39.0,-13.0
541,"[26, 6]","[5, 0]",1.0,,
542,"[18, 24]","[26, 1]",1.0,60.0,-2.0
543,"[17, 3]","[1, 17]",1.0,60.0,9.0
544,"[21, 9]","[22, 16]",1.0,89.0,-12.0
545,"[15, 5]","[27, 1]",1.0,,
546,"[5, 28]","[6, 28]",1.0,1.0,3.0
547,"[6, 5]","[25, 18]",1.0,113.0,7.0
548,"[24, 14]","[19, 29]",1.0,,
549,"[22, 18]","[27, 20]",1.0,7.0,4.0
550,"[6, 10]","[8, 1]",1.1,31.0,-6.0
551,"[19, 15]","[8, 12]",1.1,21.0,-8.0
552,"[9, 10]","[10, 4]",1.1,,
553,"[24, 18]","[24, 11]",1.1,115.0,3.0
554,"[28, 1]","[21, 20]",1.1,64.0,6.0
555,"[3, 19]","[2, 25]",1.1,66.0,-18.0
556,"[10, 24]","[3, 25]",1.1,19.0,0.0
557,"[16, 13]","[15, 27]",1.1,,
558,"[8, 1]","[1, 19]",1.1,93.0,-9.0
559,"[9, 28]","[20, 29]",1.1,162.0,-12.0
560,"[15, 22]","[4, 11]",1.1,128.0,-3.0
561,"[11, 21]","[26, 10]",1.1,79.0,-13.0
562,"[15, 0]","[10, 29]",1.1,75.0,-14.0
563,"[23, 9]","[26, 6]",1.1,17.0,-10.0
564,"[24, 9]","[23, 5]",1.1,27.0,3.0
565,"[27, 2]","[15, 16]",1.1,63.0,-16.0
566,"[9, 18]","[13, 27]",1.1,,
567,"[20, 26]","[1, 17]",1.1,38.0,0.0
568,"[29, 29]","[23, 12]",1.1,122.0,0.0
569,"[1, 9]","[11, 21]",1.1,62.0,11.0
570,"[2, 20]","[15, 3]",1.1,,
571,"[10, 8]","[18, 0]",1.1,,
572,"[27, 0]","[17, 19]",1.1,58.0,11.0
573,"[22, 29]","[2, 15]",1.1,62.0,-4.0
574,"[0, 10]","[10, 2]",1.1,,
575,"[1, 23]","[12, 25]",1.1,75.0,11.0
576,"[27, 14]","[12, 25]",1.1,136.0,2.0
577,"[22, 14]","[8, 27]",1.1,63.0,10.0
578,"[24, 28]","[6, 7]",1.1,66.0,7.0
579,"[18, 10]","[21, 1]",1.1,,
580,"[7, 28]","[22, 22]",1.1,129.0,10.0
581,"[4, 1]","[12, 23]",1.1,152.0,11.0
582,"[29, 9]","[20, 11]",1.1,113.0,-2.0
583,"[5, 18]","[14, 12]",1.1,148.0,5.0
584,"[28, 28]","[10, 15]",1.1,65.0,-9.0
585,"[19, 4]","[2, 3]",1.1,,
586,"[14, 5]","[6, 26]",1.1,44.0,13.0
587,"[17, 21]","[6, 6]",1.1,,
588,"[15, 2]","[14, 15]",1.1,153.0,-9.0
589,"[28, 13]","[16, 5]",1.1,30.0,-5.0
590,"[28, 13]","[10, 7]",1.1,39.0,-13.0
591,"[26, 6]","[5, 0]",1.1,,
592,"[18, 24]","[26, 1]",1.1,69.0,-2.0
593,"[17, 3]","[1, 17]",1.1,60.0,9.0
594,"[21, 9]","[22, 16]",1.1,89.0,-12.0
595,"[15, 5]","[27, 1]",1.1,,
596,"[5, 28]","[6, 28]",1.1,1.0,3.0
597,"[6, 5]","[25, 18]",1.1,113.0,7.0
598,"[24, 14]","[19, 29]",1.1,,
599,"[22, 18]","[27, 20]",1.1,15.0,4.0
600,"[6, 10]","[8, 1]",1.2,,
601,"[19, 15]","[8, 12]",1.2,21.0,-8.0
602,"[9, 10]","[10, 4]",1.2,,
603,"[24, 18]","[24, 11]",1.2,115.0,3.0
604,"[28, 1]","[21, 20]",1.2,66.0,6.0
605,"[3, 19]","[2, 25]",1.2,64.0,-18.0
606,"[10, 24]","[3, 25]",1.2,19.0,0.0
607,"[16, 13]","[15, 27]",1.2,,
608,"[8, 1]","[1, 19]",1.2,100.0,-9.0
609,"[9, 28]","[20, 29]",1.2,162.0,-12.0
610,"[15, 22]","[4, 11]",1.2,123.0,-3.0
611,"[11, 21]","[26, 10]",1.2,79.0,-13.0
612,"[15, 0]","[10, 29]",1.2,75.0,-14.0
613,"[23, 9]","[26, 6]",1.2,17.0,-10.0
614,"[24, 9]","[23, 5]",1.2,27.0,3.0
615,"[27, 2]","[15, 16]",1.2,63.0,-16.0
616,"[9, 18]","[13, 27]",1.2,,
617,"[20, 26]","[1, 17]",1.2,62.0,0.0
618,"[29, 29]","[23, 12]",1.2,169.0,0.0
619,"[1, 9]","[11, 21]",1.2,62.0,11.0
620,"[2, 20]","[15, 3]",1.2,,
621,"[10, 8]","[18, 0]",1.2,,
622,"[27, 0]","[17, 19]",1.2,57.0,11.0
623,"[22, 29]","[2, 15]",1.2,62.0,-4.0
624,"[0, 10]","[10, 2]",1.2,,
625,"[1, 23]","[12, 25]",1.2,75.0,11.0
626,"[27, 14]","[12, 25]",1.2,136.0,2.0
627,"[22, 14]","[8, 27]",1.2,65.0,10.0
628,"[24, 28]","[6, 7]",1.2,66.0,7.0
629,"[18, 10]","[21, 1]",1.2,,
630,"[7, 28]","[22, 22]",1.2,133.0,10.0
631,"[4, 1]","[12, 23]",1.2,152.0,11.0
632,"[29, 9]","[20, 11]",1.2,251.0,-2.0
633,"[5, 18]","[14, 12]",1.2,,
634,"[28, 28]","[10, 15]",1.2,65.0,-9.0
635,"[19, 4]","[2, 3]",1.2,,
636,"[14, 5]","[6, 26]",1.2,44.0,13.0
637,"[17, 21]","[6, 6]",1.2,,
638,"[15, 2]","[14, 15]",1.2,157.0,-9.0
639,"[28, 13]","[16, 5]",1.2,,
640,"[28, 13]","[10, 7]",1.2,39.0,-13.0
641,"[26, 6]","[5, 0]",1.2,,
642,"[18, 24]","[26, 1]",1.2,69.0,-2.0
643,"[17, 3]","[1, 17]",1.2,84.0,9.0
644,"[21, 9]","[22, 16]",1.2,89.0,-12.0
645,"[15, 5]","[27, 1]",1.2,,
646,"[5, 28]","[6, 28]",1.2,1.0,3.0
647,"[6, 5]","[25, 18]",1.2,87.0,7.0
648,"[24, 14]","[19, 29]",1.2,30.0,2.0
649,"[22, 18]","[27, 20]",1.2,15.0,4.0
650,"[6, 10]","[8, 1]",1.3,,
651,"[19, 15]","[8, 12]",1.3,21.0,-8.0
652,"[9, 10]","[10, 4]",1.3,,
653,"[24, 18]","[24, 11]",1.3,235.0,3.0
654,"[28, 1]","[21, 20]",1.3,66.0,6.0
655,"[3, 19]","[2, 25]",1.3,64.0,-18.0
656,"[10, 24]","[3, 25]",1.3,19.0,0.0
657,"[16, 13]","[15, 27]",1.3,,
658,"[8, 1]","[1, 19]",1.3,100.0,-9.0
659,"[9, 28]","[20, 29]",1.3,162.0,-12.0
660,"[15, 22]","[4, 11]",1.3,123.0,-3.0
661,"[11, 21]","[26, 10]",1.3,79.0,-13.0
662,"[15, 0]","[10, 29]",1.3,75.0,-14.0
663,"[23, 9]","[26, 6]",1.3,17.0,-10.0
664,"[24, 9]","[23, 5]",1.3,27.0,3.0
665,"[27, 2]","[15, 16]",1.3,62.0,-16.0
666,"[9, 18]","[13, 27]",1.3,,
667,"[20, 26]","[1, 17]",1.3,46.0,0.0
668,"[29, 29]","[23, 12]",1.3,,
669,"[1, 9]","[11, 21]",1.3,62.0,11.0
670,"[2, 20]","[15, 3]",1.3,,
671,"[10, 8]","[18, 0]",1.3,,
672,"[27, 0]","[17, 19]",1.3,57.0,11.0
673,"[22, 29]","[2, 15]",1.3,62.0,-4.0
674,"[0, 10]","[10, 2]",1.3,,
675,"[1, 23]","[12, 25]",1.3,75.0,11.0
676,"[27, 14]","[12, 25]",1.3,135.0,2.0
677,"[22, 14]","[8, 27]",1.3,58.0,10.0
678,"[24, 28]","[6, 7]",1.3,66.0,7.0
679,"[18, 10]","[21, 1]",1.3,,
680,"[7, 28]","[22, 22]",1.3,132.0,10.0
681,"[4, 1]","[12, 23]",1.3,152.0,11.0
682,"[29, 9]","[20, 11]",1.3,235.0,-2.0
683,"[5, 18]","[14, 12]",1.3,,
684,"[28, 28]","[10, 15]",1.3,65.0,-9.0
685,"[19, 4]","[2, 3]",1.3,,
686,"[14, 5]","[6, 26]",1.3,44.0,13.0
687,"[17, 21]","[6, 6]",1.3,,
688,"[15, 2]","[14, 15]",1.3,,
689,"[28, 13]","[16, 5]",1.3,,
690,"[28, 13]","[10, 7]",1.3,39.0,-13.0
691,"[26, 6]","[5, 0]",1.3,,
692,"[18, 24]","[26, 1]",1.3,69.0,-2.0
693,"[17, 3]","[1, 17]",1.3,68.0,9.0
694,"[21, 9]","[22, 16]",1.3,89.0,-12.0
695,"[15, 5]","[27, 1]",1.3,,
696,"[5, 28]","[6, 28]",1.3,1.0,3.0
697,"[6, 5]","[25, 18]",1.3,130.0,7.0
698,"[24, 14]","[19, 29]",1.3,30.0,2.0
699,"[22, 18]","[27, 20]",1.3,15.0,4.0
700,"[6, 10]","[8, 1]",1.4,,
701,"[19, 15]","[8, 12]",1.4,21.0,-8.0
702,"[9, 10]","[10, 4]",1.4,,
703,"[24, 18]","[24, 11]",1.4,299.0,3.0
704,"[28, 1]","[21, 20]",1.4,66.0,6.0
705,"[3, 19]","[2, 25]",1.4,64.0,-18.0
706,"[10, 24]","[3, 25]",1.4,19.0,0.0
707,"[16, 13]","[15, 27]",1.4,,
708,"[8, 1]","[1, 19]",1.4,101.0,-9.0
709,"[9, 28]","[20, 29]",1.4,162.0,-12.0
710,"[15, 22]","[4, 11]",1.4,121.0,-3.0
711,"[11, 21]","[26, 10]",1.4,89.0,-13.0
712,"[15, 0]","[10, 29]",1.4,75.0,-14.0
713,"[23, 9]","[26, 6]",1.4,17.0,-10.0
714,"[24, 9]","[23, 5]",1.4,27.0,3.0
715,"[27, 2]","[15, 16]",1.4,62.0,-16.0
716,"[9, 18]","[13, 27]",1.4,,
717,"[20, 26]","[1, 17]",1.4,70.0,0.0
718,"[29, 29]","[23, 12]",1.4,,
719,"[1, 9]","[11, 21]",1.4,62.0,11.0
720,"[2, 20]","[15, 3]",1.4,,
721,"[10, 8]","[18, 0]",1.4,,
722,"[27, 0]","[17, 19]",1.4,57.0,11.0
723,"[22, 29]","[2, 15]",1.4,63.0,-4.0
724,"[0, 10]","[10, 2]",1.4,,
725,"[1, 23]","[12, 25]",1.4,75.0,11.0
726,"[27, 14]","[12, 25]",1.4,135.0,2.0
727,"[22, 14]","[8, 27]",1.4,65.0,10.0
728,"[24, 28]","[6, 7]",1.4,66.0,7.0
729,"[18, 10]","[21, 1]",1.4,,
730,"[7, 28]","[22, 22]",1.4,132.0,10.0
731,"[4, 1]","[12, 23]",1.4,152.0,11.0
732,"[29, 9]","[20, 11]",1.4,201.0,-2.0
733,"[5, 18]","[14, 12]",1.4,153.0,5.0
734,"[28, 28]","[10, 15]",1.4,65.0,-9.0
735,"[19, 4]","[2, 3]",1.4,,
736,"[14, 5]","[6, 26]",1.4,44.0,13.0
737,"[17, 21]","[6, 6]",1.4,,
738,"[15, 2]","[14, 15]",1.4,130.0,-9.0
739,"[28, 13]","[16, 5]",1.4,,
740,"[28, 13]","[10, 7]",1.4,39.0,-13.0
741,"[26, 6]","[5, 0]",1.4,,
742,"[18, 24]","[26, 1]",1.4,69.0,-2.0
743,"[17, 3]","[1, 17]",1.4,92.0,9.0
744,"[21, 9]","[22, 16]",1.4,88.0,-12.0
745,"[15, 5]","[27, 1]",1.4,,
746,"[5, 28]","[6, 28]",1.4,1.0,3.0
747,"[6, 5]","[25, 18]",1.4,,
748,"[24, 14]","[19, 29]",1.4,30.0,2.0
749,"[22, 18]","[27, 20]",1.4,15.0,4.0
750,"[6, 10]","[8, 1]",1.5,,
751,"[19, 15]","[8, 12]",1.5,21.0,-8.0
752,"[9, 10]","[10, 4]",1.5,,
753,"[24, 18]","[24, 11]",1.5,,
754,"[28, 1]","[21, 20]",1.5,66.0,6.0
755,"[3, 19]","[2, 25]",1.5,64.0,-18.0
756,"[10, 24]","[3, 25]",1.5,19.0,0.0
757,"[16, 13]","[15, 27]",1.5,,
758,"[8, 1]","[1, 19]",1.5,101.0,-9.0
759,"[9, 28]","[20, 29]",1.5,148.0,-12.0
760,"[15, 22]","[4, 11]",1.5,122.0,-3.0
761,"[11, 21]","[26, 10]",1.5,89.0,-13.0
762,"[15, 0]","[10, 29]",1.5,75.0,-14.0
763,"[23, 9]","[26, 6]",1.5,17.0,-10.0
764,"[24, 9]","[23, 5]",1.5,27.0,3.0
765,"[27, 2]","[15, 16]",1.5,62.0,-16.0
766,"[9, 18]","[13, 27]",1.5,,
767,"[20, 26]","[1, 17]",1.5,70.0,0.0
768,"[29, 29]","[23, 12]",1.5,,
769,"[1, 9]","[11, 21]",1.5,62.0,11.0
770,"[2, 20]","[15, 3]",1.5,,
771,"[10, 8]","[18, 0]",1.5,,
772,"[27, 0]","[17, 19]",1.5,57.0,11.0
773,"[22, 29]","[2, 15]",1.5,63.0,-4.0
774,"[0, 10]","[10, 2]",1.5,,
775,"[1, 23]","[12, 25]",1.5,102.0,11.0
776,"[27, 14]","[12, 25]",1.5,135.0,2.0
777,"[22, 14]","[8, 27]",1.5,138.0,10.0
778,"[24, 28]","[6, 7]",1.5,,
779,"[18, 10]","[21, 1]",1.5,,
780,"[7, 28]","[22, 22]",1.5,127.0,10.0
781,"[4, 1]","[12, 23]",1.5,152.0,11.0
782,"[29, 9]","[20, 11]",1.5,,
783,"[5, 18]","[14, 12]",1.5,153.0,5.0
784,"[28, 28]","[10, 15]",1.5,65.0,-9.0
785,"[19, 4]","[2, 3]",1.5,,
786,"[14, 5]","[6, 26]",1.5,45.0,13.0
787,"[17, 21]","[6, 6]",1.5,,
788,"[15, 2]","[14, 15]",1.5,204.0,-9.0
789,"[28, 13]","[16, 5]",1.5,,
790,"[28, 13]","[10, 7]",1.5,39.0,-13.0
791,"[26, 6]","[5, 0]",1.5,,
792,"[18, 24]","[26, 1]",1.5,69.0,-2.0
793,"[17, 3]","[1, 17]",1.5,92.0,9.0
794,"[21, 9]","[22, 16]",1.5,88.0,-12.0
795,"[15, 5]","[27, 1]",1.5,,
796,"[5, 28]","[6, 28]",1.5,1.0,3.0
797,"[6, 5]","[25, 18]",1.5,,
798,"[24, 14]","[19, 29]",1.5,30.0,2.0
799,"[22, 18]","[27, 20]",1.5,15.0,4.0
800,"[6, 10]","[8, 1]",1.6,,
801,"[19, 15]","[8, 12]",1.6,21.0,-8.0
802,"[9, 10]","[10, 4]",1.6,,
803,"[24, 18]","[24, 11]",1.6,147.0,3.0
804,"[28, 1]","[21, 20]",1.6,66.0,6.0
805,"[3, 19]","[2, 25]",1.6,64.0,-18.0
806,"[10, 24]","[3, 25]",1.6,19.0,0.0
807,"[16, 13]","[15, 27]",1.6,,
808,"[8, 1]","[1, 19]",1.6,77.0,-9.0
809,"[9, 28]","[20, 29]",1.6,148.0,-12.0
810,"[15, 22]","[4, 11]",1.6,122.0,-3.0
811,"[11, 21]","[26, 10]",1.6,,
812,"[15, 0]","[10, 29]",1.6,75.0,-14.0
813,"[23, 9]","[26, 6]",1.6,17.0,-10.0
814,"[24, 9]","[23, 5]",1.6,27.0,3.0
815,"[27, 2]","[15, 16]",1.6,62.0,-16.0
816,"[9, 18]","[13, 27]",1.6,,
817,"[20, 26]","[1, 17]",1.6,70.0,0.0
818,"[29, 29]","[23, 12]",1.6,,
819,"[1, 9]","[11, 21]",1.6,62.0,11.0
820,"[2, 20]","[15, 3]",1.6,,
821,"[10, 8]","[18, 0]",1.6,,
822,"[27, 0]","[17, 19]",1.6,57.0,11.0
823,"[22, 29]","[2, 15]",1.6,63.0,-4.0
824,"[0, 10]","[10, 2]",1.6,,
825,"[1, 23]","[12, 25]",1.6,102.0,11.0
826,"[27, 14]","[12, 25]",1.6,158.0,2.0
827,"[22, 14]","[8, 27]",1.6,138.0,10.0
828,"[24, 28]","[6, 7]",1.6,,
829,"[18, 10]","[21, 1]",1.6,,
830,"[7, 28]","[22, 22]",1.6,132.0,10.0
831,"[4, 1]","[12, 23]",1.6,152.0,11.0
832,"[29, 9]","[20, 11]",1.6,,
833,"[5, 18]","[14, 12]",1.6,153.0,5.0
834,"[28, 28]","[10, 15]",1.6,58.0,-9.0
835,"[19, 4]","[2, 3]",1.6,,
836,"[14, 5]","[6, 26]",1.6,45.0,13.0
837,"[17, 21]","[6, 6]",1.6,,
838,"[15, 2]","[14, 15]",1.6,204.0,-9.0
839,"[28, 13]","[16, 5]",1.6,,
840,"[28, 13]","[10, 7]",1.6,39.0,-13.0
841,"[26, 6]","[5, 0]",1.6,,
842,"[18, 24]","[26, 1]",1.6,69.0,-2.0
843,"[17, 3]","[1, 17]",1.6,92.0,9.0
844,"[21, 9]","[22, 16]",1.6,206.0,-12.0
845,"[15, 5]","[27, 1]",1.6,,
846,"[5, 28]","[6, 28]",1.6,1.0,3.0
847,"[6, 5]","[25, 18]",1.6,,
848,"[24, 14]","[19, 29]",1.6,,
849,"[22, 18]","[27, 20]",1.6,15.0,4.0
850,"[6, 10]","[8, 1]",1.7,,
851,"[19, 15]","[8, 12]",1.7,21.0,-8.0
852,"[9, 10]","[10, 4]",1.7,,
853,"[24, 18]","[24, 11]",1.7,69.0,3.0
854,"[28, 1]","[21, 20]",1.7,66.0,6.0
855,"[3, 19]","[2, 25]",1.7,64.0,-18.0
856,"[10, 24]","[3, 25]",1.7,171.0,0.0
857,"[16, 13]","[15, 27]",1.7,,
858,"[8, 1]","[1, 19]",1.7,77.0,-9.0
859,"[9, 28]","[20, 29]",1.7,148.0,-12.0
860,"[15, 22]","[4, 11]",1.7,122.0,-3.0
861,"[11, 21]","[26, 10]",1.7,,
862,"[15, 0]","[10, 29]",1.7,75.0,-14.0
863,"[23, 9]","[26, 6]",1.7,17.0,-10.0
864,"[24, 9]","[23, 5]",1.7,27.0,3.0
865,"[27, 2]","[15, 16]",1.7,62.0,-16.0
866,"[9, 18]","[13, 27]",1.7,83.0,1.0
867,"[20, 26]","[1, 17]",1.7,70.0,0.0
868,"[29, 29]","[23, 12]",1.7,,
869,"[1, 9]","[11, 21]",1.7,,
870,"[2, 20]","[15, 3]",1.7,,
871,"[10, 8]","[18, 0]",1.7,,
872,"[27, 0]","[17, 19]",1.7,57.0,11.0
873,"[22, 29]","[2, 15]",1.7,197.0,-4.0
874,"[0, 10]","[10, 2]",1.7,,
875,"[1, 23]","[12, 25]",1.7,102.0,11.0
876,"[27, 14]","[12, 25]",1.7,57.0,2.0
877,"[22, 14]","[8, 27]",1.7,54.0,10.0
878,"[24, 28]","[6, 7]",1.7,,
879,"[18, 10]","[21, 1]",1.7,,
880,"[7, 28]","[22, 22]",1.7,157.0,10.0
881,"[4, 1]","[12, 23]",1.7,,
882,"[29, 9]","[20, 11]",1.7,219.0,-2.0
883,"[5, 18]","[14, 12]",1.7,153.0,5.0
884,"[28, 28]","[10, 15]",1.7,58.0,-9.0
885,"[19, 4]","[2, 3]",1.7,,
886,"[14, 5]","[6, 26]",1.7,45.0,13.0
887,"[17, 21]","[6, 6]",1.7,,
888,"[15, 2]","[14, 15]",1.7,206.0,-9.0
889,"[28, 13]","[16, 5]",1.7,,
890,"[28, 13]","[10, 7]",1.7,39.0,-13.0
891,"[26, 6]","[5, 0]",1.7,,
892,"[18, 24]","[26, 1]",1.7,69.0,-2.0
893,"[17, 3]","[1, 17]",1.7,92.0,9.0
894,"[21, 9]","[22, 16]",1.7,206.0,-12.0
895,"[15, 5]","[27, 1]",1.7,,
896,"[5, 28]","[6, 28]",1.7,1.0,3.0
897,"[6, 5]","[25, 18]",1.7,,
898,"[24, 14]","[19, 29]",1.7,,
899,"[22, 18]","[27, 20]",1.7,15.0,4.0
900,"[6, 10]","[8, 1]",1.8,,
901,"[19, 15]","[8, 12]",1.8,21.0,-8.0
902,"[9, 10]","[10, 4]",1.8,,
903,"[24, 18]","[24, 11]",1.8,69.0,3.0
904,"[28, 1]","[21, 20]",1.8,66.0,6.0
905,"[3, 19]","[2, 25]",1.8,64.0,-18.0
906,"[10, 24]","[3, 25]",1.8,178.0,0.0
907,"[16, 13]","[15, 27]",1.8,134.0,2.0
908,"[8, 1]","[1, 19]",1.8,77.0,-9.0
909,"[9, 28]","[20, 29]",1.8,148.0,-12.0
910,"[15, 22]","[4, 11]",1.8,122.0,-3.0
911,"[11, 21]","[26, 10]",1.8,,
912,"[15, 0]","[10, 29]",1.8,75.0,-14.0
913,"[23, 9]","[26, 6]",1.8,17.0,-10.0
914,"[24, 9]","[23, 5]",1.8,27.0,3.0
915,"[27, 2]","[15, 16]",1.8,93.0,-16.0
916,"[9, 18]","[13, 27]",1.8,85.0,1.0
917,"[20, 26]","[1, 17]",1.8,70.0,0.0
918,"[29, 29]","[23, 12]",1.8,,
919,"[1, 9]","[11, 21]",1.8,,
920,"[2, 20]","[15, 3]",1.8,,
921,"[10, 8]","[18, 0]",1.8,,
922,"[27, 0]","[17, 19]",1.8,57.0,11.0
923,"[22, 29]","[2, 15]",1.8,199.0,-4.0
924,"[0, 10]","[10, 2]",1.8,,
925,"[1, 23]","[12, 25]",1.8,102.0,11.0
926,"[27, 14]","[12, 25]",1.8,59.0,2.0
927,"[22, 14]","[8, 27]",1.8,133.0,10.0
928,"[24, 28]","[6, 7]",1.8,,
929,"[18, 10]","[21, 1]",1.8,,
930,"[7, 28]","[22, 22]",1.8,157.0,10.0
931,"[4, 1]","[12, 23]",1.8,,
932,"[29, 9]","[20, 11]",1.8,214.0,-2.0
933,"[5, 18]","[14, 12]",1.8,153.0,5.0
934,"[28, 28]","[10, 15]",1.8,58.0,-9.0
935,"[19, 4]","[2, 3]",1.8,,
936,"[14, 5]","[6, 26]",1.8,45.0,13.0
937,"[17, 21]","[6, 6]",1.8,,
938,"[15, 2]","[14, 15]",1.8,206.0,-9.0
939,"[28, 13]","[16, 5]",1.8,,
940,"[28, 13]","[10, 7]",1.8,39.0,-13.0
941,"[26, 6]","[5, 0]",1.8,,
942,"[18, 24]","[26, 1]",1.8,69.0,-2.0
943,"[17, 3]","[1, 17]",1.8,92.0,9.0
944,"[21, 9]","[22, 16]",1.8,206.0,-12.0
945,"[15, 5]","[27, 1]",1.8,,
946,"[5, 28]","[6, 28]",1.8,1.0,3.0
947,"[6, 5]","[25, 18]",1.8,,
948,"[24, 14]","[19, 29]",1.8,,
949,"[22, 18]","[27, 20]",1.8,15.0,4.0
950,"[6, 10]","[8, 1]",1.9,,
951,"[19, 15]","[8, 12]",1.9,21.0,-8.0
952,"[9, 10]","[10, 4]",1.9,,
953,"[24, 18]","[24, 11]",1.9,69.0,3.0
954,"[28, 1]","[21, 20]",1.9,66.0,6.0
955,"[3, 19]","[2, 25]",1.9,77.0,-18.0
956,"[10, 24]","[3, 25]",1.9,178.0,0.0
957,"[16, 13]","[15, 27]",1.9,144.0,2.0
958,"[8, 1]","[1, 19]",1.9,,
959,"[9, 28]","[20, 29]",1.9,148.0,-12.0
960,"[15, 22]","[4, 11]",1.9,122.0,-3.0
961,"[11, 21]","[26, 10]",1.9,,
962,"[15, 0]","[10, 29]",1.9,75.0,-14.0
963,"[23, 9]","[26, 6]",1.9,17.0,-10.0
964,"[24, 9]","[23, 5]",1.9,27.0,3.0
965,"[27, 2]","[15, 16]",1.9,93.0,-16.0
966,"[9, 18]","[13, 27]",1.9,85.0,1.0
967,"[20, 26]","[1, 17]",1.9,72.0,0.0
968,"[29, 29]","[23, 12]",1.9,,
969,"[1, 9]","[11, 21]",1.9,,
970,"[2, 20]","[15, 3]",1.9,,
971,"[10, 8]","[18, 0]",1.9,,
972,"[27, 0]","[17, 19]",1.9,57.0,11.0
973,"[22, 29]","[2, 15]",1.9,201.0,-4.0
974,"[0, 10]","[10, 2]",1.9,,
975,"[1, 23]","[12, 25]",1.9,102.0,11.0
976,"[27, 14]","[12, 25]",1.9,59.0,2.0
977,"[22, 14]","[8, 27]",1.9,47.0,10.0
978,"[24, 28]","[6, 7]",1.9,,
